Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.31570900000001,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.26629299999999,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303000000005,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821000000005,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.25959499999999,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.20760700000001,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.19275400000001,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.921279999999996,-118.27418600000001,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No
7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.18523700000001,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No
1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833000000004,-118.22971499999998,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No
5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.38300100000001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No
5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.20066899999999,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.35863400000001,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.33263899999999,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.02018799999999,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989523999999996,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.30023700000001,Male,No,No,No,1,No,No phone service,DSL,No,No,No
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.794990000000006,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.28436299999998,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295000000004,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783046999999996,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.14223600000001,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.24483899999998,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402000000004,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.08735300000001,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.26753899999999,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377000000004,-118.63265600000001,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389000000004,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41458999999999,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.44546100000001,Male,No,Yes,No,4,Yes,No,DSL,No,No,No
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.178470000000004,-118.45947199999999,Female,No,Yes,No,1,Yes,No,DSL,No,No,No
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.40002199999999,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345000000004,-117.90673600000001,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.93643600000001,Female,No,Yes,No,2,Yes,No,DSL,No,No,No
